word,defin
juxtaposition, the act of placing two things next to each other for implicit comparison
arrogate, to take without justification
imperious," commanding, domineering"
umbrage," resentment, offense"
cogent, intellectually convincing
impudent," casually rude, insolent, impertinent"
inure, to cause someone or something to become accustomed to a situation
largess, the generous giving of lavish gifts
rescind," to take back, repeal"
eschew," to shun, avoid"
pathos, an emotion of sympathy
torpid," lethargic, dormant, lacking motion"
effrontery," impudence, nerve, insolence"
myriad, consisting of a very great number
proclivity, a strong inclination toward something
prosaic," plain, lacking liveliness"
promulgate," to proclaim, make known"
alacrity," eagerness, speed"
querulous," whiny, complaining"
conflagration, great fire
dissemble," to conceal, fake"
vicarious, experiencing through another
pugnacious," quarrelsome, combative"
iniquity, wickedness or sin
limpid," clear, transparent"
ephemeral," short-lived, fleeting"
contrite," penitent, eager to be forgiven"
ebullient," extremely lively, enthusiastic"
probity," virtue, integrity"
expiate," to make amends for, atone"
wizened," dry, shrunken, wrinkled"
mendacious," having a lying, false character"
obtuse, lacking quickness of sensibility or intellect
mawkish, characterized by sick sentimentality
invective, an angry verbal attack
venerate, to regard with respect or to honor
inchoate," unformed or formless, in a beginning stage"
diffident," shy, quiet, modest"
brusque," short, abrupt, dismissive"
obdurate, unyielding to persuasion or moral influences
truculent," ready to fight, cruel"
proscribe," to condemn, outlaw"
maudlin, weakly sentimental
precocious," advanced, developing ahead of time"
latent," hidden, but capable of being exposed"
reprove," to scold, rebuke"
ostensible," appearing as such, seemingly"
pariah, an outcast
propensity," an inclination, preference"
transient, passing through briefly; passing into and out of existence
zenith," the highest point, culminating point"
grandiloquence," lofty, pompous language"
ubiquitous," existing everywhere, widespread"
ineffable," unspeakable, incapable of being expressed through words"
rectitude," uprightness, extreme morality"
nascent, in the process of being born or coming into existence
clemency, mercy
fastidious," meticulous, demanding, having high and often unattainable standards"
conundrum," puzzle, problem"
undulate, to move in waves
fatuous," silly, foolish"
malevolent, wanting harm to befall others
palliate, to reduce the severity of
sanguine," optimistic, cheery"
ribald," coarsely, crudely humorous"
fallacious," incorrect, misleading"
hapless, unlucky
veracity," truthfulness, accuracy"
abjure," to reject, renounce"
replete," full, abundant"
approbation, praise
acerbic," biting, bitter in tone or taste"
acrimony," bitterness, discord"
viscous," not free flowing, syrupy"
licentious, displaying a lack of moral or legal restraints
deride," to laugh at mockingly, scorn"
propitious, favorable
hegemony, domination over others
surreptitious, stealthy
odious, instilling hatred or intense displeasure
winsome," charming, pleasing"
hackneyed," unoriginal, trite"
credulity, readiness to believe
surmise, to infer with little evidence
laconic, terse in speech or writing
pejorative," derogatory, uncomplimentary"
punctilious, eager to follow rules or conventions
rebuke," to scold, criticize"
vitriolic, having a caustic quality
diaphanous," light, airy, transparent"
ignominious," humiliating, disgracing"
vituperate, to berate
temerity," audacity, recklessness"
pertinacious," shrewdness, perceptiveness"
pallid, lacking color
extant," existing, not destroyed or lost"
opulent, characterized by rich abundance verging on ostentation
turgid," swollen, excessively embellished in style or language"
unctuous," smooth or greasy in texture, appearance, manner"
harangue, a ranting speech
buttress," to support, hold up"
recalcitrant," defiant, unapologetic"
vilify," to lower in importance, defame"
impetuous, rash; hastily done
impertinent," rude, insolent"
sacrosanct," holy, something that should not be criticized"
effulgent," radiant, splendorous"
enervate," to weaken, exhaust"
pellucid," easily intelligible, clear"
vicissitude, event that occurs by chance
tenuous, having little substance or strength
anathema," a cursed, detested person"
repudiate," to reject, refuse to accept"
spurious, false but designed to seem plausible
demure," quiet, modest, reserved"
cursory, brief to the point of being superficial
iconoclast, one who attacks common beliefs or institutions
paucity, small in quantity
quagmire, a difficult situation
mercurial, characterized by rapid change or temperamentality
surfeit, an overabundant supply or indulgence
vapid," lacking liveliness, dull"
perspicacity," shrewdness, perceptiveness"
desecrate, to violate the sacredness of a thing or place
solicitous," concerned, attentive"
aspersion," a curse, expression of ill-will"
adumbrate, to sketch out in a vague way
verdant, green in tint or color
rancor," deep, bitter resentment"
antipathy," a strong dislike, repugnance"
salient," significant, conspicuous"
obfuscate, to render incomprehensible
impinge," to impact, affect, make an impression"
florid," flowery, ornate"
egregious, extremely bad
extol," to praise, revere"
blandish, to coax by using flattery
munificence, generosity in giving
puerile," juvenile, immature"
decry, to criticize openly
prescient, to have foreknowledge of events
morass," a wet swampy bog; figuratively, something that traps and confuses"
capricious," subject to whim, fickle"
inveterate, stubbornly established by habit
fetid, having a foul odor
restive," resistant, stubborn, impatient"
insidious," appealing but imperceptibly harmful, seductive"
perfidious," disloyal, unfaithful"
evince," to show, reveal"
transmute, to change or alter in form
sanctimonious, giving a hypocritical appearance of piety
upbraid, to criticize or scold severely
protean, able to change shape; displaying great variety
boon, a gift or blessing
deprecate," to belittle, depreciate"
ruse, a trick
pithy, concisely meaningful
sycophant, one who flatters for self-gain
turpitude," depravity, moral corruption"
exculpate," to free from guilt or blame, exonerate"
implacable, incapable of being appeased or mitigated
dither, to be indecisive
garrulous," talkative, wordy"
reprobate," evil, unprincipled"
primeval," original, ancient"
jubilant," extremely joyful, happy"
pulchritude, physical beauty
cajole," to urge, coax"
assiduous," hard-working, diligent"
legerdemain," deception, slight-of-hand"
variegated," diversified, distinctly marked"
acumen, keen insight
gregarious," drawn to the company of others, sociable"
ingenuous, not devious; innocent and candid
concomitant, accompanying in a subordinate fashion
somnolent," sleepy, drowsy"
neophyte, someone who is young or inexperienced
stupefy," to astonish, make insensible"
wistful, full of yearning; musingly sad
portent, an omen
multifarious, having great diversity or variety